Pais,Poblacion (2020),Densidad,Territorio (Km²),Tasa Migracion,Tasa Fertilidad,Edad Promedio,% Poblacion Urbaba
China,1440297825,153,9388211,-348399,1.7,38,61 %
India,1382345085,464,2973190,-532687,2.2,28,35 %
Estados Unidos,331341050,36,9147420,954806,1.8,38,83 %
Indonesia,274021604,151,1811570,-98955,2.3,30,56 %
Pakistán,221612785,287,770880,-233379,3.6,23,35 %
Brasil,212821986,25,8358140,21200,1.7,33,88 %
Nigeria,206984347,226,910770,-60000,5.4,18,52 %
Bangladesh,164972348,1265,130170,-369501,2.1,28,39 %
Rusia,145945524,9,16376870,182456,1.8,40,74 %
Mexico,129166028,66,1943950,-60000,2.1,29,84 %
Japan,126407422,347,364555,71560,1.4,48,92 %
Etiopia,115434444,115,1000000,30000,4.3,19,21 %
Filipinas,109830324,368,298170,-67152,2.6,26,47 %
Egipto,102659126,103,995450,-38033,3.3,25,43 %
Vietnam,97490013,314,310070,-80000,2.1,32,38 %
DR Congo,90003954,40,2267050,23861,6,17,46 %
Turquía,84495243,110,769630,283922,2.1,32,76 %
Iran,84176929,52,1628550,-55000,2.2,32,76 %
Alemania,83830972,240,348560,543822,1.6,46,76 %
Tailandia,69830779,137,510890,19444,1.5,40,51 %
Reino Unido,67948282,281,241930,260650,1.8,40,83 %
Francia,65298930,119,547557,36527,1.9,42,82 %
Italia,60446035,206,294140,148943,1.3,47,69 %
Tanzania,60012400,67,885800,-40076,4.9,18,37 %
Sudáfrica,59436725,49,1213090,145405,2.4,28,67 %
Myanmar,54473253,83,653290,-163313,2.2,29,31 %
Kenia,53968739,94,569140,-10000,3.5,20,28 %
Corea del Sur,51276977,527,97230,11731,1.1,44,82 %
Colombia,50976248,46,1109500,204796,1.8,31,80 %
España,46757980,94,498800,40000,1.3,45,80 %
Uganda,45974931,229,199810,168694,5,17,26 %
Argentina,45267449,17,2736690,4800,2.3,32,93 %
Argelia,43984569,18,2381740,-10000,3.1,29,73 %
Sudan,44019263,25,1765048,-50000,4.4,20,35 %
Ucrania,43686577,75,579320,10000,1.4,41,69 %
Iraq,40372771,93,434320,7834,3.7,21,73 %
Afganistán,39074280,60,652860,-62920,4.6,18,25 %
Polonia,37839255,124,306230,-29395,1.4,42,60 %
Canada,37799407,4,9093510,242032,1.5,41,81 %
Marruecos,36985624,83,446300,-51419,2.4,30,64 %
Arabia Saudita,34905942,16,2149690,134979,2.3,32,84 %
Uzbekistan,33551824,79,425400,-8863,2.4,28,50 %
Perú,33050211,26,1280000,99069,2.3,31,79 %
Angola,33032075,26,1246700,6413,5.6,17,67 %
Malasia,32436963,99,328550,50000,2,30,78 %
